"Plot Title: Node Dataset"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 10454540, SEN S/N: 10454540-1)","RH, % (LGR S/N: 10454540, SEN S/N: 10454540-2)","Temp, °F (LGR S/N: 10498980, SEN S/N: 10498980-1)","Temp, °F (LGR S/N: 10454538, SEN S/N: 10454538-1)","RH, % (LGR S/N: 10454538, SEN S/N: 10454538-2)","Temp, °F (LGR S/N: 10454538, SEN S/N: 10454538-3)","Temp, °F (LGR S/N: 10454545, SEN S/N: 10454545-1)","RH, % (LGR S/N: 10454545, SEN S/N: 10454545-2)","Temp, °F (LGR S/N: 10540262, SEN S/N: 10540262-3)","Temp, °F (LGR S/N: 10454536, SEN S/N: 10454536-1)","RH, % (LGR S/N: 10454536, SEN S/N: 10454536-2)","Temp, °F (LGR S/N: 10454542, SEN S/N: 10454542-1)","RH, % (LGR S/N: 10454542, SEN S/N: 10454542-2)","Temp, °F (LGR S/N: 10454542, SEN S/N: 10454542-3)","Temp, °F (LGR S/N: 10540263, SEN S/N: 10540263-1)","RH, % (LGR S/N: 10540263, SEN S/N: 10540263-2)","Temp, °F (LGR S/N: 10540263, SEN S/N: 10540263-3)","Temp, °F (LGR S/N: 10540263, SEN S/N: 10540263-4)","Temp, °F (LGR S/N: 10540264, SEN S/N: 10540264-1)","RH, % (LGR S/N: 10540264, SEN S/N: 10540264-2)","Temp, °F (LGR S/N: 10540264, SEN S/N: 10540264-3)","Temp, °F (LGR S/N: 10540261, SEN S/N: 10540261-1)","RH, % (LGR S/N: 10540261, SEN S/N: 10540261-2)","DewPt, °F (LGR S/N: 10454540, SEN S/N: 10454540-x)","DewPt, °F (LGR S/N: 10454538, SEN S/N: 10454538-x)","DewPt, °F (LGR S/N: 10454545, SEN S/N: 10454545-x)","DewPt, °F (LGR S/N: 10454536, SEN S/N: 10454536-x)","DewPt, °F (LGR S/N: 10454542, SEN S/N: 10454542-x)","DewPt, °F (LGR S/N: 10540263, SEN S/N: 10540263-x)","DewPt, °F (LGR S/N: 10540264, SEN S/N: 10540264-x)","DewPt, °F (LGR S/N: 10540261, SEN S/N: 10540261-x)"
1,06/02/14 03:38:00 PM,80.404,76.553,,,,,,,,,,,,,,,,,,,,,,72.407,,,,,,,
2,06/02/14 03:45:00 PM,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,06/02/14 03:50:00 PM,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,06/02/14 03:59:00 PM,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,06/02/14 04:00:00 PM,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,06/02/14 04:01:00 PM,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,06/02/14 04:02:00 PM,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,06/02/14 04:03:00 PM,81.687,72.886,84,,,,,,,,,,,,,,,,,,,,,72.189,,,,,,,
9,06/02/14 04:04:00 PM,81.199,73.606,84,,,,,,,,,,,,,,,,,,,,,72.011,,,,,,,
10,06/02/14 04:05:00 PM,81.111,74.218,84,,,,,,,,,,,,,,,,,,,,,72.171,,,,,,,
11,06/02/14 04:06:00 PM,81.023,74.120,84,,,,,,,,,,,,,,,,,,,,,72.047,,,,,,,
12,06/02/14 04:07:00 PM,80.668,74.584,84,,,,,,,,,,,,,,,,,,,,,71.890,,,,,,,
13,06/02/14 04:08:00 PM,80.449,75.120,84,,,,,,,,,,,,,,,,,,,,,71.890,,,,,,,
14,06/02/14 04:09:00 PM,80.184,75.473,84,,,,,,,,,,,,,,,,,,,,,71.773,,,,,,,
15,06/02/14 04:10:00 PM,79.963,75.654,84,,,,,,,,,,,,,,,,,,,,,71.630,,,,,,,
16,06/02/14 04:11:00 PM,79.788,75.899,84,,,,,,,,,,,,,,,,,,,,,71.557,,,,,,,
17,06/02/14 04:12:00 PM,79.655,76.089,84,,,,,,,,,,,,,,,,,,,,,71.502,,,,,,,
18,06/02/14 04:13:00 PM,79.524,76.309,82,,,,,,,,,,,,,,,,,,,,,71.461,,,,,,,
19,06/02/14 04:14:00 PM,79.435,76.708,82,,,,,,,,,,,,,,,,,,,,,71.529,,,,,,,
20,06/02/14 04:15:00 PM,79.435,76.737,82,,,,,,,,,,,,,,,,,,,,,71.540,,,,,,,
21,06/02/14 04:16:00 PM,79.392,76.616,82,,,,,,,,,,,,,,,,,,,,,71.452,,,,,,,
22,06/02/14 04:17:00 PM,79.788,76.864,82,,,,,,,,,,,,,,,,,,,,,71.931,,,,,,,
23,06/02/14 04:18:00 PM,80.625,74.962,82,,,,,,,,,,,,,,,,,,,,,71.998,,,,,,,
24,06/02/14 04:19:00 PM,81.997,73.424,82,,,,,,,,,,,,,,,,,,,,,72.706,,,,,,,
25,06/02/14 04:20:00 PM,82.841,72.621,82,,,,,,,,,,,,,,,,,,,,,73.190,,,,,,,
26,06/02/14 04:21:00 PM,83.242,72.185,82,,,,,,,,,,,,,,,,,,,,,73.396,,,,,,,
27,06/02/14 04:22:00 PM,83.467,70.649,82,,,,,,,,,,,,,,,,,,,,,72.972,,,,,,,
28,06/02/14 04:23:00 PM,83.646,69.703,82,,,,,,,,,,,,,,,,,,,,,72.742,,,,,,,
29,06/02/14 04:24:00 PM,83.869,69.362,82,,,,,,,,,,,,,,,,,,,,,72.810,,,,,,,
30,06/02/14 04:25:00 PM,83.691,69.918,82,,,,,,,,,,,,,,,,,,,,,72.877,,,,,,,
31,06/02/14 04:26:00 PM,83.691,70.250,82,,,,,,,,,,,,,,,,,,,,,73.018,,,,,,,
32,06/02/14 04:27:00 PM,83.556,70.116,82,,,,,,,,,,,,,,,,,,,,,72.832,,,,,,,
33,06/02/14 04:28:00 PM,83.646,70.516,82,,,,,,,,,,,,,,,,,,,,,73.087,,,,,,,
34,06/02/14 04:29:00 PM,83.601,70.782,82,,,,,,,,,,,,,,,,,,,,,73.156,,,,,,,
35,06/02/14 04:30:00 PM,83.646,69.884,82,,,,,,,,,,,,,,,,,,,,,72.819,,,,,,,
36,06/02/14 04:31:00 PM,83.691,69.556,82,,,,,,,,,,,,,,,,,,,,,72.723,,,,,,,
37,06/02/14 04:32:00 PM,83.422,69.559,82,,,,,,,,,,,,,,,,,,,,,72.467,,,,,,,
38,06/02/14 04:33:00 PM,82.308,70.561,82,,,,,,,,,,,,,,,,,,,,,71.825,,,,,,,
39,06/02/14 04:34:00 PM,81.466,71.940,82,,,,,,,,,,,,,,,,,,,,,71.590,,,,,,,
40,06/02/14 04:35:00 PM,80.890,73.010,82,,,,,,,,,,,,,,,,,,,,,71.473,,,,,,,
41,06/02/14 04:36:00 PM,80.492,73.708,82,,,,,,,,,,,,,,,,,,,,,71.371,,,,,,,
42,06/02/14 04:37:00 PM,80.184,74.325,82,,,,,,,,,,,,,,,,,,,,,71.320,,,,,,,
43,06/02/14 04:38:00 PM,79.963,74.832,82,,,,,,,,,,,,,,,,,,,,,71.308,,,,,,,
44,06/02/14 04:39:00 PM,79.788,75.018,82,,,,,,,,,,,,,,,,,,,,,71.212,,,,,,,
45,06/02/14 04:40:00 PM,79.655,75.298,82,,,,,,,,,,,,,,,,,,,,,71.193,,,,,,,
46,06/02/14 04:41:00 PM,79.524,75.459,82,,,,,,,,,,,,,,,,,,,,,71.130,,,,,,,
47,06/02/14 04:42:00 PM,79.435,75.596,82,,,,,,,,,,,,,,,,,,,,,71.097,,,,,,,
48,06/02/14 04:43:00 PM,79.392,75.885,82,,,,,,,,,,,,,,,,,,,,,71.169,,,,,,,
49,06/02/14 04:44:00 PM,79.304,75.846,82,,,,,,,,,,,,,,,,,,,,,71.068,,,,,,,
50,06/02/14 04:45:00 PM,79.261,75.958,82,,,,,,,,,,,,,,,,,,,,,71.070,,,,,,,
51,06/02/14 04:46:00 PM,79.216,76.011,82,,,,,,,,,,,,,,,,,,,,,71.047,,,,,,,
52,06/02/14 04:47:00 PM,79.173,75.890,82,,,,,,,,,,,,,,,,,,,,,70.959,,,,,,,
53,06/02/14 04:48:00 PM,79.173,76.094,82,,,,,,,,,,,,,,,,,,,,,71.038,,,,,,,
54,06/02/14 04:49:00 PM,79.173,76.065,82,,,,,,,,,,,,,,,,,,,,,71.027,,,,,,,
55,06/09/14 09:01:00 AM,,,,70.243,58.603,,,,,,,,,,,,,,,,,,,,55.093,,,,,,
56,06/09/14 09:02:00 AM,,,,69.985,58.550,,72.997,55.532,,,,,,,,,,,,,,,,,54.826,56.180,,,,,
57,06/09/14 09:03:00 AM,,,,69.728,58.864,,72.567,55.994,,,,,,,,,,,,,,,,,54.732,56.009,,,,,
58,06/09/14 09:04:00 AM,,,,69.471,59.086,,72.178,56.148,,,,,,,,,,,,,,,,,54.594,55.722,,,,,
59,06/09/14 09:05:00 AM,,,,69.300,59.071,,71.791,56.425,,,,,,,,,,,,,,,,,54.427,55.497,,,,,
60,06/09/14 09:06:00 AM,,,,69.129,59.148,,71.490,56.802,,,,,,,,,,,,,,,,,54.302,55.399,,,,,
61,06/09/14 09:07:00 AM,,,,68.871,59.674,,71.190,56.993,,,,,,,,,,,,,,,,,54.303,55.212,,,,,
62,06/09/14 09:08:00 AM,,,,68.698,59.963,,70.974,57.191,,,,,,,,,,,,,,,,,54.272,55.105,,,,,
63,06/09/14 09:09:00 AM,,,,68.571,60.225,,70.759,57.326,,,,,,,,,,,,,,,,,54.273,54.969,,,,,
64,06/09/14 09:10:00 AM,,,,68.484,60.278,,70.587,57.466,,,,,,,,,,,,,,,,,54.215,54.876,,,,,
65,06/09/14 09:11:00 AM,,,,68.443,60.426,,70.416,57.636,,,,,,,,,,,,,,,,,54.243,54.797,,,,,
66,06/09/14 09:12:00 AM,,,,68.400,60.453,,70.243,57.836,,,,,,,,,,,,,,,,,54.215,54.730,,,,,
67,06/09/14 09:13:00 AM,,,,68.400,60.453,,70.158,57.952,,,,,,,,,,,,,,,,,54.215,54.706,,,,,
68,06/09/14 09:14:00 AM,,,,68.356,60.419,,70.029,58.063,,,,,,,,,,,,,,,,,54.158,54.638,,,,,
69,06/09/14 09:15:00 AM,,,,68.356,60.297,,69.942,58.209,,,,,,,,,,,,,,,,,54.103,54.625,,,,,
70,06/09/14 09:16:00 AM,,,,68.270,60.472,,69.858,58.355,,,,,,,,,,,,,,,,,54.101,54.615,,,,,
